Source	Target	Weight
3382	793	0.00000487359098377
3382	4128	0.00003584572875530
3382	681	0.00000435305085315
3382	64	0.00007345475319220
20778	152	0.00002917316913540
20778	4612	0.00002350299985550
20778	2313	0.00001329669515170
19718	1028	0.00007121034958670
5988	1027	0.00001697614902050
5988	321	0.00000043785321241
5988	1456	0.00000591467124500
5989	1186	0.00000907368215721
5989	4122	0.00000069971936377
5989	4356	0.00000074860465851
5989	527	0.00000360801078577
5989	384	0.00003562122881850
19399	6528	0.00000770445365181
19399	1200	0.00000883848750779
19398	2066	0.00002025675384760
5981	64	0.00000104403086716
5981	2049	0.00003512751628430
5986	0	0.00013919082974600
5986	2053	0.00000039385644715
5986	20870	0.00000786030921185
5987	112	0.00000045740733031
5984	181	0.00000600009361698
5984	1288	0.00001719170642520
5984	7601	0.00000209604263738
5984	2115	0.00000977400956393
5985	4787	0.00000251327533174
5985	409	0.00000563651611542
22261	2200	0.00000883848750779
22261	1125	0.00000543638593985
22265	0	0.00096248303260700
22269	3364	0.00000754859809178
22269	512	0.00024682974170400
22268	1898	0.00000535845815983
22268	2304	0.00007907065879860
6796	768	0.00003589538099880
6796	4160	0.00003732686635790
6796	47	0.00000427256806395
6796	4928	0.00001064918466400
6796	4100	0.00003914875681510
6796	1378	0.00000622459355376
6796	2064	0.00003485430073750
6796	290	0.00001702580126400
6796	4353	0.00001689566623130
6797	272	0.00003334633553850
6797	2320	0.00001942188704460
6797	1296	0.00001916161697930
6797	5480	0.00000354541306083
6794	1348	0.00001043362725930
6794	5159	0.00000301593039809
6794	5191	0.00000327620046339
6794	1288	0.00001707051392470
6794	4142	0.00000691998137769
6794	405	0.00000574876608381
6794	116	0.00000887200686749
6794	268	0.00001980334961040
6795	202	0.00001031243475880
6795	1250	0.00000497689842002
6795	4641	0.00000940148953024
6795	4395	0.00000432622325675
6795	2093	0.00000536730351798
6795	6144	0.00000088059495430
6795	5652	0.00000510703345267
6792	593	0.00001133162700640
6792	5410	0.00000859879132071
6792	1270	0.00000469474034110
6792	1072	0.00002005067419420
6792	2596	0.00001172203210440
6792	1126	0.00000742757602683
6792	1127	0.00000586595563499
6792	519	0.00001302338243090
6792	261	0.00000103002492776
6792	2402	0.00000898919641867
6792	402	0.00000833852125540
6792	3078	0.00001224257223500
6792	4449	0.00000099580522144
6792	1332	0.00000794811615744
6793	2052	0.00000095392289641
6793	1056	0.00003874046665290
6793	2625	0.00001024089450170
6793	4512	0.00001206278495890
6793	2081	0.00001869967162420
6793	3126	0.00000555603332622
6793	270	0.00001024089450170
6793	4618	0.00001128197476300
6793	64	0.00000136944790167
6793	7232	0.00001388467541600
6793	97	0.00001778872639570
6790	7168	0.00000040852203557
6790	37	0.00001820595909000
6790	19166	0.00000664834757585
6790	16	0.00007390375306570
6791	2441	0.00000513386104907
6791	1057	0.00001580493372670
6791	3376	0.00000067038818693
6791	6501	0.00000240102536335
6791	3016	0.00000292156549397
6791	1330	0.00000669548144092
6791	4384	0.00000075838171746
6791	5504	0.00000903791202868
6798	613	0.00000527293861386
6798	37	0.00001711522658530
6798	257	0.00004040939743030
6799	0	0.00013894844474500
6799	6180	0.00000034985968189
270	5714	0.00000934476802154
270	708	0.00001741314004610
270	1220	0.00000199161044289
270	1089	0.00002470070187470
270	4434	0.00001064611834810
270	64	0.00007987795571970
270	2730	0.00001051598331540
270	4617	0.00000199649897236
270	1717	0.00000843382279297
270	2561	0.00002548151207060
270	2470	0.00001012557821750
270	4673	0.00001572138462160
270	5869	0.00000778314762970
270	1560	0.00001871449037260
270	2072	0.00002248840631950
270	2240	0.00002287881141750
270	19660	0.00000860470416774
270	202	0.00001637205978480
270	1173	0.00001259814383790
270	2628	0.00001624192475220
270	900	0.00001650219481750
270	4257	0.00001559124958890
270	1490	0.00000934476802154
270	9	0.00004031690579310
270	22538	0.00001087277187970
270	128	0.00000274444398185
270	224	0.00002574178213590
270	5120	0.00004174839115230
270	2831	0.00000882422789093
270	21413	0.00001200680573570
270	5405	0.00000843382279297
270	17	0.00000224092544605
270	5185	0.00001428989926240
270	2576	0.00002339935154810
270	7316	0.00000947490305420
270	3113	0.00001051598331540
270	4688	0.00001546111455630
270	7360	0.00001168719860930
270	2145	0.00001559124958890
270	1573	0.00001129679351130
270	1572	0.00001350908906650
271	24	0.00000091481466062
271	3232	0.00001199618428460
271	1538	0.00002383847225610
271	1554	0.00001329753461120
271	1232	0.00001446874990500
271	1129	0.00000926334859890
271	4246	0.00000939348363155
271	4144	0.00002461928245200
271	513	0.00003607116532550
271	6755	0.00000587983774991
271	3552	0.00000757159317440
271	259	0.00002110563657040
271	64	0.00007745410570930
271	368	0.00001290712951320
271	4224	0.00003607116532550
271	2	0.00007133775917460
271	7380	0.00000666064794583
271	3792	0.00000666064794583
271	4867	0.00000822226833767
271	7825	0.00000614010781521
271	2660	0.00000926334859890
272	19492	0.00007318303036150
272	20057	0.00007318303036150
272	2848	0.00003736118702190
272	3712	0.00003762145708720
272	640	0.00006182657316080
272	2656	0.00003827213225050
272	20272	0.00007091496264950
272	21277	0.00007318303036150
272	20279	0.00007431706421750
272	138	0.00004634050427500
272	19421	0.00007318303036150
272	1544	0.00004608023420970
272	4677	0.00003423794623820
272	21405	0.00007204899650550
272	4675	0.00003423794623820
272	21400	0.00007658513192940
272	0	0.00016827702987100
272	540	0.00003749132205460
272	548	0.00004568982911170
272	7394	0.00003098457042190
272	1314	0.00003749132205460
272	16675	0.00007204899650550
272	679	0.00003150511055250
272	1092	0.00001468287478900
272	1092	0.00004490901891580
272	1092	0.00001468287478900
272	1092	0.00004490901891580
272	1093	0.00003957348257700
272	1156	0.00004647063930760
272	713	0.00003371740610760
272	5143	0.00003137497551980
272	260	0.00006638129930360
272	4238	0.00003358727107500
272	5955	0.00003046403029130
272	2318	0.00003306673094430
272	16972	0.00008679143663330
272	23687	0.00007204899650550
272	20687	0.00007091496264950
272	3840	0.00003827213225050
272	2258	0.00003436808127090
272	6253	0.00003111470545450
272	5667	0.00003150511055250
272	426	0.00003319686597700
272	2253	0.00003202565068310
272	2065	0.00004634050427500
272	6254	0.00003137497551980
272	4328	0.00003488862140150
272	1121	0.00003892280741370
272	5152	0.00004738158453620
272	6858	0.00003137497551980
272	16997	0.00007545109807350
272	18372	0.00007318303036150
272	394	0.00003775159211990
